Date,Close,High,Low,Open,Volume
2016-09-28,27.103946685791016,27.13970469016926,26.78213146652877,26.862585271344333,2505800
2016-09-29,26.94304084777832,27.381066200000888,26.87152653935496,27.148645976401653,4657600
2016-09-30,26.99667739868164,27.18440181571159,26.8000117750858,27.11288750850462,4380100
2016-10-03,26.88940048217773,26.9698542771422,26.68379709728424,26.87152148217779,2215800
2016-10-04,26.72849464416504,27.24697374290007,26.63016354779082,26.916220746398366,3894400
2016-10-05,26.88940048217773,27.148640867071062,26.835765187213187,26.88940048217773,2729600
2016-10-06,27.068187713623047,27.16651880588261,26.60334393281941,26.73743302592633,2286600
2016-10-07,26.460317611694336,27.37212625117653,26.397742809873385,27.112885837877773,3508400
2016-10-10,26.478185653686523,26.91621079015936,26.41560917273204,26.77318224376148,3651200
2016-10-11,26.102746963500977,26.50501429070805,25.968656149396423,26.433499985535537,2624400
2016-10-12,26.34410285949707,26.478193654166507,26.066985180248448,26.19213476990229,2869000
2016-10-13,25.816686630249023,26.10274554037868,25.66471852691329,26.09380603959005,4278700
2016-10-14,25.816686630249023,26.19213713819404,25.71835553164503,25.94183793625432,4698000
2016-10-17,25.745174407958984,26.129564447733024,25.637903799904016,25.852446721049525,4226900
2016-10-18,26.281530380249023,26.406681685964813,25.82562607129645,26.013352177352417,3438500
2016-10-19,26.576520919799805,26.612278914575867,26.08486042687421,26.39773606102461,4265200
2016-10-20,26.254711151123047,26.406679240031107,25.93289597342709,26.38880024015128,5191000
2016-10-21,25.99546813964844,26.174254710299685,25.915014353358888,26.03122613579273,4166400
2016-10-24,26.183195114135746,26.37091948527506,26.12061861872081,26.17425561479075,3031400
2016-10-25,25.75411033630371,26.013350729034347,25.566385945734908,26.013350729034347,3804600
2016-10-26,25.54850578308105,25.79880666415614,25.44123348975309,25.673655371100967,4861200
2016-10-27,25.08366203308105,25.70941338356785,24.833362856914544,25.628959589789964,5864400
2016-10-28,25.602140426635746,25.80774550820332,25.101540382241893,25.1283588811512,3198800
2016-10-31,25.77198600769043,25.941833080813737,25.62895743191348,25.68259272157105,2708700
2016-11-01,25.620018005371094,25.97758944582637,25.37865664367561,25.77198608069397,2565300
2016-11-02,25.57532501220703,25.78986789994753,25.316084623873525,25.611081307646128,2741500
2016-11-03,25.289270401000977,25.736235222184856,25.271391398945102,25.664719213961373,3992800
2016-11-04,25.70047187805176,26.24576939220601,25.20881135892047,25.316081938896147,6098300
2016-11-07,26.254711151123047,26.3172859456672,25.923956473487173,26.17425735669906,5300700
2016-11-08,24.82442283630371,25.22669009171948,24.297004290394728,24.85123963031029,12852100
2016-11-09,24.618825912475582,24.86912514900644,23.85898529078764,24.297010659752296,9241700
2016-11-10,24.60093688964844,25.15517214914109,24.30594026313526,24.69033016844773,13933200
2016-11-11,24.43109893798828,25.03003191267149,24.386403134444183,24.53837125354397,7925200
2016-11-14,25.00320625305176,25.012145752209733,24.413212948906462,24.58306002283772,5744400
2016-11-15,25.307144165039062,25.80774592250448,24.779725613269065,25.23562987183476,7138800
2016-11-16,24.84230613708496,25.262452464609847,24.76185233106427,25.217754958467506,3996300
