Company Name,Ticker,Market Cap (mil),Last Close,Avg Volume,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Sales Growth F(0)/F(-1),Operating Margin 12 Mo %,52 Week High,52 Week Low,Zacks Industry Rank,Sector,Industry,Net Margin %,Zacks Rank
"10x Genomics","TXG","8162.73","62.65","3152444","-3.39","37.39","115.66","95.41","242.48","5.25","-12.18","65.12","11.34","76","Medical","Medical Info Systems","-12.18","3"
"3M","MMM","86930.09","168.56","2629794","-5.74","-6.72","6.74","64.26","-7.11","1.52","18.35","183.78","141.2","65","Conglomerates","Diversified Operations","11.9","2"
"4D Molecular Therapeutics","FDMT","827","14.97","1140256",".4","41.9","69.44","83.15","73.18","230194.59","-194.74","16.76","6.14","160","Medical","Medical - Drugs","-194.74","3"
"908 Devices","MASS","415.41","10.05","559055","-9.46","21.08","22.26","82.53","68.97","-5.76","-27.88","11.1","5.09","151","Medical","Medical - Instruments","-56.96","3"
"A. O. Smith","AOS","8219.78","60.48","1239186","-2.37","-3.98","3.1","19.04","-20.03",".32","13.6","80.47","55.78","95","Industrial Products","Manufacturing - Electronics","13.15","3"
"A10 Networks","ATEN","1785.46","24.59","1317438","-9.03","-10.91","-24.71","37.29","23.42","11.03","23.3","38.11","16.55","72","Computer and Technology","Internet - Software","13.85","3"
"A2Z Cust2Mate Solutions Corp.","AZ","273.95","6.15","710461","-7.24","2.84","3.36","25.88","-18.7","10.26","-241.67","9.1","5.12","72","Computer and Technology","Internet - Software","-241.67","3"
"AAON","AAON","6546.85","79.4","1240543","1.6","-12.05","-38.28","7.91","-9.64","20.11","8.29","148.25","73.49","40","Construction","Building Products - Air Conditioner and Heating","8.24","3"
"AAR","AIR","5047.93","126.54","358505","-6.89","-13.57","-.54","65.95","34.11","18.97","5.89","153.71","73.92","33","Aerospace","Aerospace - Defense Equipment","5.67","2"
"ABCELLERA BIOLG","ABCL","3504.56","11.43","10243670","-7.82","75.04","116.89","88.99","198.91","160.56","-248.83","12.5","2.78","163","Medical","Medical - Biomedical and Genetics","-248.83","3"
"ABM Industries","ABM","2756.24","47.05","341003","-.21","-3.09","1.93","80.7","-1.35","4.62","2.32","49.36","37.39","179","Business Services","Business - Services","1.75","3"
"ACADIA Pharmaceuticals","ACAD","4828.01","28.02","1487136","-5.75","-1.51","31","75.74","-7.84","11.87","9.31","30.57","20.06","163","Medical","Medical - Biomedical and Genetics","33.42","3"
"ACI Worldwide","ACIW","5345.57","52.95","930123","-2.35","-4.11","19.36","66.7","-2.22","10.38","17.86","60.18","38.47","72","Computer and Technology","Computer - Software","12.4","1"
"ACM Research","ACMR","4813.07","74.44","911708","-7.52","-5.75","-18.82","47.58","55.48","15.24","10.69","126.89","26.83","1","Computer and Technology","Semiconductor Equipment - Material Services","14.48","1"
"ACV Auctions","ACVA","1185.26","6.98","4959744","-3.32","-6.31","8.22","36.95","-26.19","19.22","3.47","11.81","4.15","51","Business Services","Auction and Valuation Services","-7.88","3"
"ADEIA INC","ADEA","2922.42","26.5","809214","1.07","-6.39","-18.76","67.43","30.41","17.91","44.9","33.63","11.74","163","Business Services","Technology Services","26.05","3"
"ADMA Biologics","ADMA","2154.74","9.62","1913972","1.48","-4.37","15.62","15.81","-53.59","19.63","33.47","20.38","7.6","163","Medical","Medical - Biomedical and Genetics","32.98","3"
"ADT","ADT","5449.97","7.46","6496989","0","-2.48","11.01","45.49","-17.78","4.72","14.42","8.85","6.3","59","Industrial Products","Security and Safety Services","11.85","2"
"ADTRAN Holdings, Inc.","ADTN","578.52","7.1","1729338","-8.86","-5.27","-53.29","0","-27.3","17.46","2.48","19.4","7.1","39","Computer and Technology","Communication - Components","-2.29","4"
"AECOM","ACM","8568.58","66.58","2810002",".51","-11.14","-4.33","7.56","-38.06",".21","6.7","134.35","61.04","156","Construction","Engineering - R and D Services","1.87","5"
"AES","AES","10551.76","14.79","7354127",".27",".61",".82","47.8","-8.93","-.37","14.52","17.28","12.51","156","Utilities","Utility - Electric Power","14.3","3"
"AGCO","AGCO","9342.27","133.4","1106271","20.29","31.26","20.15","83.14","6.56","-13.55","4.18","140.49","98.45","180","Industrial Products","Manufacturing - Farm Equipment","5.15","5"
"AGNC Investment","AGNC","12625.37","10.65","14655613","-2.65",".38","3.4","38.71","-12.14","19.46","186.81","12.17","9.69","232","Finance","REIT and Equity Trust","57.94","3"
"AH Realty Trust Inc","AHRT","493.06","6.61","554750","-.3","-4.2","-3.5","60.58","-13.25","-59.74","-1.97","7.56","5.15","80","Finance","REIT and Equity Trust - Other","-18.23","4"
"AIRO Group Holdings, Inc.","AIRO","233.51","7.4","603259","-7.85","-5.85","-12.53","10.27","-23.53","4.57","-23.86","20.94","5.85","83","Aerospace","Aerospace - Defense","-23.86","3"
