Symbol,Name,Latest,Change,%Change,"IV Rank","IV Pctl","Options Vol","% Put","% Call","P/C Vol"
TSLA,"Tesla Inc",380.12,1.22,+0.32%,14.29%,14%,2708328,37.3%,62.7%,0.59387667666348
NVDA,"Nvidia Corp",225.51,-3.36,-1.47%,8.53%,4%,2387601,38.5%,61.5%,0.62485836257955
META,"META Platforms",744.1,7.51,+1.02%,71.41%,91%,1731592,34.1%,65.9%,0.51648603794736
AAPL,"Apple Inc",337.02,-2.73,-0.80%,44.82%,32%,1140123,38.7%,61.3%,0.63145769328184
MU,"Micron Technology",1071.88,-24.28,-2.22%,28.75%,24%,999980,40.5%,59.5%,0.6798904689508
AMZN,"Amazon.com Inc",249.27,-5.71,-2.24%,33.86%,48%,986317,34.3%,65.7%,0.52175361994615
GOOGL,"Alphabet Cl A",337.83,-13.33,-3.80%,41.71%,55%,941381,34.6%,65.4%,0.52865514928803
MSFT,"Microsoft Corp",500.59,2.59,+0.52%,32.81%,41%,861526,21.9%,78.1%,0.28025143587419
INTC,"Intel Corp",122.6,-1.26,-1.02%,38.43%,54%,855401,37.7%,62.3%,0.60592241868079
SPCX,"SpaceX Corp",148.36,-6.36,-4.11%,3.02%,9%,653118,45.7%,54.3%,0.84172487402114
PLTR,"Palantir Technologies Cl A",191.79,6.8,+3.68%,34.04%,41%,647635,35.0%,65.0%,0.53938580019491
AMD,"Adv Micro Devices",614.61,-9.16,-1.47%,24.77%,27%,645354,52.6%,47.4%,1.1081594919673
AVGO,"Broadcom Ltd",354.99,-9.55,-2.62%,5.49%,2%,365386,35.4%,64.6%,0.54765555508493
SOFI,"Sofi Technologies Inc",16.55,-0.61,-3.55%,9.15%,11%,342347,33.4%,66.6%,0.50139681342344
MSTR,"Strategy Inc",162.2,-5.13,-3.07%,21.56%,37%,338967,47.8%,52.2%,0.91484061213076
GOOG,"Alphabet Cl C",334.98,-12.43,-3.58%,42.48%,59%,331737,37.1%,62.9%,0.58957809243154
CRWV,"Coreweave Cl A",86.9,0.14,+0.16%,11.32%,4%,312504,21.2%,78.8%,0.26854693360612
ORCL,"Oracle Corp",144.56,-4.64,-3.11%,20.71%,20%,289822,25.4%,74.6%,0.3407319341065
GME,"Gamestop Corp",24.2,0.17,+0.71%,55.46%,73%,287944,10.0%,90.0%,0.11132810238557
HOOD,"Robinhood Markets Cl A",122.7,-1.55,-1.25%,36.27%,39%,251553,34.4%,65.6%,0.52434191390343
NFLX,"Netflix Inc",71.36,-0.8,-1.11%,26.64%,47%,241099,42.9%,57.1%,0.75073522470645
U,"Unity Software Inc",44.1,0.99,+2.30%,25.58%,25%,233481,2.1%,97.9%,0.021914966254366
MCD,"McDonald's Corp",238.32,-12.03,-4.81%,58.46%,76%,216974,37.0%,63.0%,0.58762237864575
SMCI,"Super Micro Computer",41.44,-0.1,-0.24%,34.93%,39%,208820,24.0%,76.0%,0.31664564943253
ONDS,"Ondas Inc",7.4,-0.32,-4.15%,4.55%,6%,194894,14.5%,85.5%,0.16959324027509
IONQ,"Ionq Inc",42.54,1.8,+4.42%,9.34%,6%,175926,24.6%,75.4%,0.32545261397283
IREN,"Iren Limited",47.05,-1.5,-3.09%,5.26%,5%,159733,36.0%,64.0%,0.56292991262316
CRWD,"Crowdstrike Holdings",262.49,12.43,+4.97%,61.33%,73%,152148,40.1%,59.9%,0.66878352143727
SNDK,"Sandisk Corp",1816.57,-70.47,-3.73%,6.66%,6%,148422,42.1%,57.9%,0.72631897273658
BABA,"Alibaba Group Holding ADR",110.8,-5.51,-4.74%,39.01%,32%,145627,26.7%,73.3%,0.36417457447705
MRNA,"Moderna Inc",182.11,-0.45,-0.25%,31.97%,77%,133042,40.7%,59.3%,0.68509980747796
WMT,"Walmart Inc",110.53,0.41,+0.37%,33.51%,35%,130283,21.8%,78.2%,0.27872601462433
NBIS,"Nebius Group N.V. Cl A",226.61,-9.51,-4.03%,6.80%,8%,120481,41.7%,58.3%,0.71662036047589
NKE,"Nike Inc",36.05,-0.05,-0.14%,75.67%,85%,120232,36.0%,64.0%,0.56200226053291
BAC,"Bank of America Corp",56,-0.2,-0.36%,43.68%,72%,119601,43.6%,56.4%,0.77207669057073
MARA,"Mara Holdings Inc",13.35,-0.28,-2.05%,10.80%,14%,119128,35.1%,64.9%,0.54073384291054
WBD,"Discovery Inc Series A",30.76,-0.07,-0.23%,5.46%,12%,118722,69.2%,30.8%,2.2429730394165
BB,"Blackberry Ltd",8.38,-0.24,-2.78%,34.62%,82%,117668,25.1%,74.9%,0.33507306889353
FSLY,"Fastly Inc",29.65,3.57,+13.69%,46.64%,79%,115994,15.4%,84.6%,0.18200809106009
NU,"NU Holdings Ltd Cl A",13.62,-0.54,-3.81%,65.70%,79%,115168,47.9%,52.1%,0.91924275501192
MRVL,"Marvell Technology Inc",260.9,-1.46,-0.56%,35.65%,48%,110903,36.9%,63.1%,0.58516644512099
RKLB,"Rocket Lab Corp",70.31,-1.67,-2.32%,10.76%,7%,107739,28.9%,71.1%,0.40583530148623
NOK,"Nokia Corp ADR",10.63,-0.19,-1.76%,40.76%,57%,107429,32.4%,67.6%,0.4798809802598
BMNR,"Bitmine Immersion Technologies",27.46,-1.3,-4.52%,8.66%,6%,105689,35.9%,64.1%,0.5601924978964
SHOP,"Shopify Inc",142.34,-5.4,-3.66%,42.76%,45%,103071,36.5%,63.5%,0.57369915720044
BA,"Boeing Company",199.93,2.21,+1.12%,46.97%,43%,101981,25.2%,74.8%,0.33719268340654
NVO,"Novo Nordisk A/S ADR",38.17,-1.23,-3.12%,5.47%,5%,98970,47.7%,52.3%,0.91117118856812
DELL,"Dell Technologies",549.83,0.91,+0.17%,40.72%,55%,97851,33.0%,67.0%,0.49333842045021
UBER,"UBER Technologies",69.42,-0.47,-0.67%,34.89%,36%,96455,25.1%,74.9%,0.33481407674956
KHC,"Kraft Heinz Company",23.79,-0.21,-0.87%,40.88%,27%,95079,4.2%,95.8%,0.04375747862075
SKHY,"SK hynix Inc",189.28,-6.09,-3.12%,3.59%,14%,90106,42.8%,57.2%,0.74830710723918
BE,"Bloom Energy Corp Cl A",275.19,-1.34,-0.48%,0.85%,2%,89996,43.5%,56.5%,0.76965883393963
COIN,"Coinbase Global Cl A",198.13,-2.94,-1.46%,34.77%,29%,87317,41.0%,59.0%,0.69531113484128
TSM,"Taiwan Semiconductor ADR",446.57,-5.43,-1.20%,5.68%,8%,86265,48.1%,51.9%,0.92706355411594
SNAP,"Snap Inc",5.29,-0.33,-5.87%,29.58%,42%,83664,26.4%,73.6%,0.35948392128825
NOW,"Servicenow Inc",140.78,3.78,+2.76%,54.37%,67%,80271,29.2%,70.8%,0.41282385243593
AMC,"AMC Entertainment Holdings",2.87,-0.1,-3.37%,26.37%,26%,80208,17.4%,82.6%,0.21017532212801
GRAB,"Grab Holdings Ltd Cl A",3.2,0.03,+0.95%,72.76%,87%,79575,23.5%,76.5%,0.30789586141152
