Date,Close,High,Low,Open,Volume
2021-01-28,33.0,34.75,32.21200180053711,33.349998474121094,7415800
2021-01-29,33.93000030517578,34.400001525878906,31.8799991607666,32.41999816894531,4688000
2021-02-01,37.68000030517578,38.09000015258789,34.2599983215332,34.36000061035156,4903300
2021-02-02,38.84000015258789,41.7599983215332,35.099998474121094,38.59000015258789,10671200
2021-02-03,37.02000045776367,40.54999923706055,36.9900016784668,39.09999847412109,2909200
2021-02-04,39.619998931884766,39.869998931884766,37.310001373291016,37.369998931884766,6488100
2021-02-05,39.95000076293945,40.40999984741211,38.52999877929688,40.02999877929688,1344000
2021-02-08,40.0,40.04999923706055,38.09000015258789,39.95000076293945,1370700
2021-02-09,38.59999847412109,40.0,37.91999816894531,39.75,1433500
2021-02-10,37.34999847412109,38.48799896240234,37.185001373291016,38.310001373291016,1413400
2021-02-11,36.34999847412109,37.47999954223633,35.7599983215332,37.310001373291016,1019100
2021-02-12,37.91999816894531,38.150001525878906,35.27000045776367,36.220001220703125,551800
2021-02-16,38.880001068115234,39.76499938964844,37.2400016784668,38.369998931884766,1382600
2021-02-17,38.84999847412109,39.650001525878906,37.68999862670898,38.790000915527344,1112100
2021-02-18,38.150001525878906,38.470001220703125,36.70000076293945,38.15999984741211,1143100
2021-02-19,40.16999816894531,40.91999816894531,38.0099983215332,38.630001068115234,1781800
2021-02-22,39.709999084472656,44.040000915527344,39.0099983215332,41.0,4306500
2021-02-23,38.77000045776367,39.45000076293945,33.70000076293945,37.0,2058300
2021-02-24,37.68000030517578,40.09999847412109,36.53200149536133,40.0099983215332,1108800
2021-02-25,34.02000045776367,37.39699935913086,34.0,37.18000030517578,2022900
2021-02-26,32.619998931884766,34.20000076293945,32.0,33.9900016784668,1481100
2021-03-01,37.0,37.43999862670898,33.7599983215332,34.43000030517578,1614300
2021-03-02,36.29999923706055,38.375,35.76100158691406,37.22999954223633,1287400
2021-03-03,33.91999816894531,36.7760009765625,33.029998779296875,36.29999923706055,1130500
2021-03-04,32.97999954223633,34.61100006103516,31.40999984741211,33.75,1661700
2021-03-05,32.20000076293945,33.45000076293945,29.520000457763672,32.61000061035156,1461100
2021-03-08,32.95000076293945,34.88999938964844,31.18000030517578,31.18000030517578,723300
2021-03-09,35.849998474121094,38.52000045776367,33.61000061035156,33.689998626708984,1389800
2021-03-10,33.849998474121094,36.970001220703125,33.84000015258789,36.18999862670898,1019400
2021-03-11,34.619998931884766,35.54499816894531,34.380001068115234,34.90999984741211,1649500
2021-03-12,34.84000015258789,35.099998474121094,34.0,34.40999984741211,1010700
2021-03-15,38.0,39.02999877929688,34.83000183105469,35.56999969482422,2361300
2021-03-16,38.16999816894531,39.97999954223633,35.5099983215332,38.34999847412109,1951800
2021-03-17,35.95000076293945,37.310001373291016,35.38999938964844,37.310001373291016,1775400
2021-03-18,30.76000022888184,36.0,30.100000381469727,35.86000061035156,4201800
2021-03-19,31.11000061035156,33.25,31.02300071716309,31.65999984741211,7577200
2021-03-22,32.34000015258789,32.709999084472656,29.0,31.349000930786133,3319200
2021-03-23,32.029998779296875,32.65599822998047,30.5,32.54999923706055,2215700
2021-03-24,30.670000076293945,32.68000030517578,30.64999961853028,31.989999771118164,1952300
2021-03-25,30.36000061035156,30.89999961853028,28.170000076293945,29.655000686645508,3407200
2021-03-26,31.290000915527344,31.90999984741211,30.21999931335449,30.270000457763672,912700
2021-03-29,30.40999984741211,31.7509994506836,30.1200008392334,31.040000915527344,962300
2021-03-30,33.68000030517578,33.849998474121094,30.309999465942383,30.5,3087000
2021-03-31,34.779998779296875,35.75,33.939998626708984,33.939998626708984,1892700
2021-04-01,34.56999969482422,35.40999984741211,33.90999984741211,35.209999084472656,1218000
2021-04-05,35.06999969482422,36.22999954223633,34.5099983215332,35.43000030517578,2580300
2021-04-06,35.84000015258789,35.95000076293945,34.709999084472656,34.900001525878906,1312000
2021-04-07,33.2400016784668,35.720001220703125,33.0099983215332,35.38999938964844,1275700
2021-04-08,35.209999084472656,35.25,33.029998779296875,33.459999084472656,1006600
2021-04-09,34.689998626708984,35.689998626708984,34.369998931884766,35.11000061035156,1701900
2021-04-12,33.720001220703125,34.900001525878906,33.119998931884766,34.380001068115234,1107200
2021-04-13,33.880001068115234,34.47800064086914,33.04999923706055,33.5099983215332,1058700
2021-04-14,34.02000045776367,34.4900016784668,33.439998626708984,33.880001068115234,1026800
2021-04-15,32.349998474121094,34.470001220703125,32.22999954223633,34.380001068115234,1501000
2021-04-16,33.06999969482422,33.779998779296875,32.58000183105469,32.630001068115234,3940400
2021-04-19,31.059999465942383,33.41999816894531,30.5,32.79999923706055,1652900
2021-04-20,31.809999465942383,32.18899917602539,30.920000076293945,31.40999984741211,746800
2021-04-21,33.90999984741211,34.08000183105469,31.0,31.459999084472656,872300
2021-04-22,33.84000015258789,34.9900016784668,32.59000015258789,33.88999938964844,1467100
2021-04-23,34.599998474121094,34.83000183105469,33.65999984741211,33.84000015258789,775600
2021-04-26,35.06999969482422,35.15999984741211,33.349998474121094,34.720001220703125,845900
2021-04-27,35.54999923706055,35.939998626708984,34.630001068115234,35.34000015258789,1357700
2021-04-28,34.34000015258789,35.369998931884766,34.0099983215332,35.0,685300
2021-04-29,33.25,34.81999969482422,32.619998931884766,34.779998779296875,1227900
2021-04-30,32.06999969482422,33.630001068115234,31.3700008392334,32.88999938964844,883200
2021-05-03,31.170000076293945,32.380001068115234,30.39999961853028,32.2400016784668,1479400
2021-05-04,29.46999931335449,31.155000686645508,28.39999961853028,30.51000022888184,2048400
2021-05-05,29.06999969482422,30.420000076293945,28.100000381469727,29.96999931335449,1521500
2021-05-06,29.3799991607666,29.46999931335449,27.100000381469727,28.75,1710000
2021-05-07,28.780000686645508,30.68000030517578,28.540000915527344,29.65999984741211,775900
2021-05-10,29.420000076293945,29.76000022888184,27.65999984741211,28.270000457763672,1229100
2021-05-11,28.059999465942383,28.71999931335449,27.0,27.690000534057617,1203000
2021-05-12,25.799999237060547,27.39999961853028,25.34000015258789,27.299999237060547,2805000
2021-05-13,23.229999542236328,26.65999984741211,23.02400016784668,26.25,1803600
2021-05-14,23.07999992370605,23.979999542236328,22.6200008392334,23.8799991607666,1801100
2021-05-17,21.68000030517578,23.3799991607666,20.940000534057617,22.950000762939453,1838100
2021-05-18,21.82999992370605,22.65999984741211,21.479999542236328,21.809999465942383,886000
2021-05-19,21.5,22.190000534057617,21.01000022888184,21.280000686645508,938600
2021-05-20,23.450000762939453,23.93000030517578,22.25,23.729999542236328,2187400
2021-05-21,24.38999938964844,24.84000015258789,23.209999084472656,23.549999237060547,2110300
2021-05-24,25.76000022888184,25.8799991607666,24.440000534057617,25.600000381469727,1868500
2021-05-25,26.549999237060547,26.739999771118164,25.26000022888184,25.549999237060547,1809100
2021-05-26,26.64999961853028,27.290000915527344,26.06999969482422,26.559999465942383,1702200
2021-05-27,27.18000030517578,27.520000457763672,26.46500015258789,26.59000015258789,2722000
2021-05-28,27.600000381469727,27.8700008392334,26.63999938964844,27.18000030517578,890000
2021-06-01,27.950000762939453,28.459999084472656,26.670000076293945,27.93000030517578,1121100
2021-06-02,27.920000076293945,28.350000381469727,27.3700008392334,27.950000762939453,917700
2021-06-03,25.780000686645508,27.76000022888184,25.5,27.420000076293945,932500
2021-06-04,26.729999542236328,26.84000015258789,25.76499938964844,26.0,860500
2021-06-07,27.07999992370605,27.1299991607666,25.940000534057617,26.850000381469727,1239500
2021-06-08,29.059999465942383,29.39999961853028,27.229999542236328,27.540000915527344,1297500
2021-06-09,29.229999542236328,29.34000015258789,28.440000534057617,29.25,922900
2021-06-10,30.020000457763672,30.290000915527344,28.989999771118164,29.030000686645508,1487400
2021-06-11,30.63999938964844,30.979999542236328,29.780000686645508,30.07999992370605,1213500
2021-06-14,30.65999984741211,32.22999954223633,30.32999992370605,31.0,1534500
2021-06-15,28.65999984741211,30.700000762939453,28.34499931335449,30.40999984741211,1015900
2021-06-16,30.6200008392334,30.84000015258789,28.209999084472656,28.540000915527344,1518700
2021-06-17,30.81999969482422,31.920000076293945,30.09000015258789,30.190000534057617,1365200
2021-06-18,30.809999465942383,32.13999938964844,29.799999237060547,31.09000015258789,6216100
2021-06-21,29.3799991607666,30.57999992370605,28.26000022888184,30.57999992370605,1353000
2021-06-22,29.729999542236328,29.920000076293945,28.65999984741211,29.34000015258789,882300
2021-06-23,31.489999771118164,32.220001220703125,29.88999938964844,29.88999938964844,1333400
2021-06-24,31.93000030517578,32.268001556396484,30.5,31.729999542236328,957500
2021-06-25,32.459999084472656,32.810001373291016,31.530000686645508,31.940000534057617,1543300
2021-06-28,34.15999984741211,34.41999816894531,32.5099983215332,32.70000076293945,1042900
2021-06-29,34.40999984741211,34.5099983215332,33.54999923706055,34.33000183105469,1671900
2021-06-30,35.5,35.68000030517578,34.380001068115234,34.66999816894531,2150500
2021-07-01,35.25,35.47999954223633,34.290000915527344,35.439998626708984,1371000
2021-07-02,35.65999984741211,35.7400016784668,34.900001525878906,35.41999816894531,625200
2021-07-06,36.15999984741211,36.27000045776367,34.91999816894531,35.779998779296875,1436600
2021-07-07,37.4900016784668,37.61000061035156,35.22999954223633,36.38999938964844,1378300
2021-07-08,35.810001373291016,36.59000015258789,34.65999984741211,36.09000015258789,1130800
2021-07-09,35.380001068115234,35.95000076293945,34.41999816894531,35.720001220703125,1097400
2021-07-12,35.279998779296875,36.20000076293945,34.77000045776367,35.959999084472656,1102100
2021-07-13,30.209999084472656,33.099998474121094,29.691999435424805,33.02000045776367,3331200
2021-07-14,28.40999984741211,30.51000022888184,28.09000015258789,30.14999961853028,3117800
2021-07-15,27.59000015258789,29.06999969482422,27.209999084472656,27.75,9631300
2021-07-16,27.11000061035156,28.09000015258789,27.06999969482422,27.90999984741211,3864400
2021-07-19,26.600000381469727,27.56999969482422,25.01000022888184,26.239999771118164,3198800
2021-07-20,25.68000030517578,26.950000762939453,25.15999984741211,26.71999931335449,2878300
2021-07-21,27.5,28.0,25.81999969482422,25.989999771118164,2224000
2021-07-22,27.549999237060547,28.290000915527344,26.520000457763672,27.709999084472656,1757800
2021-07-23,27.59000015258789,27.924999237060547,26.81999969482422,27.709999084472656,871900
2021-07-26,27.049999237060547,28.040000915527344,26.420000076293945,27.479999542236328,939100
2021-07-27,27.309999465942383,27.43000030517578,26.270000457763672,26.989999771118164,1017400
2021-07-28,28.6299991607666,28.700000762939453,27.09000015258789,27.239999771118164,1863400
2021-07-29,28.520000457763672,29.1299991607666,28.14999961853028,28.8799991607666,800400
2021-07-30,29.09000015258789,29.665000915527344,27.799999237060547,28.059999465942383,935100
2021-08-02,28.65999984741211,29.52499961853028,28.51000022888184,29.26000022888184,941900
2021-08-03,30.51000022888184,30.520000457763672,28.790000915527344,28.950000762939453,1086300
2021-08-04,30.64999961853028,31.26000022888184,30.18000030517578,30.32999992370605,1215600
2021-08-05,31.299999237060547,31.690000534057617,30.270000457763672,30.6200008392334,1294100
2021-08-06,32.720001220703125,32.9900016784668,31.290000915527344,31.40999984741211,1468900
2021-08-09,33.04999923706055,34.459999084472656,32.65399932861328,32.88999938964844,1134200
2021-08-10,33.0099983215332,34.209999084472656,32.84000015258789,33.5,1379600
2021-08-11,32.25,33.525001525878906,30.59000015258789,33.31999969482422,1603200
2021-08-12,33.290000915527344,33.36000061035156,32.029998779296875,32.029998779296875,1147000
2021-08-13,33.02000045776367,33.630001068115234,32.7400016784668,33.43000030517578,777000
2021-08-16,29.8799991607666,33.0,29.434999465942383,33.0,1180200
2021-08-17,29.1200008392334,29.81999969482422,28.6200008392334,29.1299991607666,1203200
2021-08-18,30.479999542236328,31.559999465942383,28.440000534057617,29.13999938964844,868200
2021-08-19,29.540000915527344,30.53300094604492,29.38999938964844,30.39999961853028,513600
2021-08-20,31.020000457763672,31.21999931335449,29.32999992370605,29.549999237060547,947200
