Symbol,Name,Latest,Change,%Change,"IV Rank","IV Pctl","Options Vol","% Put","% Call","P/C Vol"
TSLA,"Tesla Inc",366.2,8.12,+2.27%,12.69%,10%,2268899,39.6%,60.4%,0.65471871082266
NVDA,"Nvidia Corp",219.34,5.44,+2.54%,0.00%,0%,2057013,36.7%,63.3%,0.57958743617762
INTC,"Intel Corp",108.8,7.75,+7.67%,31.94%,47%,1509397,38.4%,61.6%,0.62456396396978
SPCX,"SpaceX Corp",154.81,3.93,+2.60%,1.81%,3%,1437333,51.9%,48.1%,1.079769701144
AAPL,"Apple Inc",337,4.59,+1.38%,42.38%,26%,1286513,37.6%,62.4%,0.60218113617343
AMD,"Adv Micro Devices",545.09,32.59,+6.36%,20.28%,20%,843745,38.4%,61.6%,0.62354817853652
MU,"Micron Technology",977.5,50.95,+5.50%,21.82%,14%,693807,38.8%,61.2%,0.63349405986749
AMZN,"Amazon.com Inc",251.19,5.23,+2.13%,21.37%,24%,668481,32.5%,67.5%,0.48155921640245
CRWV,"Coreweave Cl A",79.88,-3.47,-4.16%,13.74%,6%,547490,40.9%,59.1%,0.69206615095051
META,"META Platforms",682.31,9,+1.34%,45.10%,60%,529319,37.7%,62.3%,0.60484315972664
ORCL,"Oracle Corp",150.59,7.43,+5.19%,18.98%,17%,446265,41.1%,58.9%,0.69768361947297
SMCI,"Super Micro Computer",40.35,3.5,+9.50%,27.82%,27%,403302,29.7%,70.3%,0.42183473236289
GOOGL,"Alphabet Cl A",347.33,4.46,+1.30%,19.68%,14%,402905,26.7%,73.3%,0.36437366239536
GME,"Gamestop Corp",22.77,0.79,+3.59%,50.02%,62%,378528,7.4%,92.6%,0.080052044100527
PLTR,"Palantir Technologies Cl A",176.24,1.9,+1.09%,20.17%,19%,370334,37.2%,62.8%,0.59272480173407
MSTR,"Strategy Inc",132.25,6.07,+4.81%,20.21%,14%,358183,39.9%,60.1%,0.66388565004715
SOFI,"Sofi Technologies Inc",16.73,-0.11,-0.65%,1.77%,2%,356447,39.7%,60.3%,0.65880343630458
FRO,"Frontline Plc",54.03,0.36,+0.67%,40.61%,50%,355995,1.4%,98.6%,0.014207653386817
NFLX,"Netflix Inc",75.31,-1.1,-1.44%,16.27%,30%,314066,49.4%,50.6%,0.97666265962602
AVGO,"Broadcom Ltd",347.3,7.79,+2.29%,0.00%,0%,304173,36.5%,63.5%,0.57549529951053
HOOD,"Robinhood Markets Cl A",109.81,5.39,+5.16%,24.37%,17%,303950,29.4%,70.6%,0.41614484326661
IREN,"Iren Limited",43.48,0.86,+2.02%,3.18%,3%,280050,40.3%,59.7%,0.67596260876851
NBIS,"Nebius Group N.V. Cl A",217.99,8.62,+4.12%,3.15%,1%,273531,32.3%,67.7%,0.4764868453724
MSFT,"Microsoft Corp",497.75,7.45,+1.52%,20.97%,19%,260198,37.7%,62.3%,0.60616049382716
BABA,"Alibaba Group Holding ADR",108.54,1.27,+1.18%,43.86%,37%,255343,60.1%,39.9%,1.5054997890357
DELL,"Dell Technologies",588.4,25.11,+4.46%,42.64%,59%,236229,51.5%,48.5%,1.0629552004192
NKE,"Nike Inc",36.36,0.58,+1.62%,72.63%,80%,228720,50.2%,49.8%,1.0069143428742
MRVL,"Marvell Technology Inc",240.76,11.05,+4.81%,32.86%,47%,215657,45.3%,54.7%,0.82871752255614
NU,"NU Holdings Ltd Cl A",13.84,0.03,+0.22%,53.20%,51%,197086,47.3%,52.7%,0.8979411028293
GOOG,"Alphabet Cl C",343.68,4.32,+1.27%,19.37%,14%,194915,36.7%,63.3%,0.57934610865778
WULF,"Terawulf Inc",16.47,1.08,+7.02%,6.48%,3%,193173,49.3%,50.7%,0.97121340449197
SNDK,"Sandisk Corp",1614.39,94.42,+6.21%,0.75%,2%,192952,37.5%,62.5%,0.60115511003419
NOK,"Nokia Corp ADR",10.6,0.46,+4.54%,37.46%,53%,180093,21.4%,78.6%,0.2729849511921
MARA,"Mara Holdings Inc",11.64,0.6,+5.43%,13.27%,15%,180079,27.0%,73.0%,0.37032865850411
RKLB,"Rocket Lab Corp",67.82,4.12,+6.47%,5.52%,4%,166681,37.6%,62.4%,0.60210113515124
BA,"Boeing Company",197,-4.96,-2.46%,38.75%,30%,165121,50.2%,49.8%,1.0084780810587
MRNA,"Moderna Inc",158.07,12.45,+8.55%,23.60%,54%,162477,30.3%,69.7%,0.43454882571075
BAC,"Bank of America Corp",58.18,0.28,+0.48%,33.95%,48%,160817,40.6%,59.4%,0.68326023927401
COIN,"Coinbase Global Cl A",173.97,9.46,+5.75%,27.85%,22%,154737,39.9%,60.1%,0.66485910719473
CRWD,"Crowdstrike Holdings",245.7,4.34,+1.80%,56.58%,69%,149731,47.0%,53.0%,0.8869929047625
RKT,"Rocket Companies Cl A",12.57,-0.38,-2.93%,29.79%,24%,148033,31.7%,68.3%,0.46387603338476
