Symbol,Name,Latest,Change,%Change,"IV Rank","IV Pctl","Options Vol","% Put","% Call","P/C Vol"
NVDA,"Nvidia Corp",224.58,-0.93,-0.41%,9.79%,6%,1662851,35.8%,64.2%,0.55722154795885
TSLA,"Tesla Inc",377.94,-2.18,-0.57%,12.75%,11%,1534496,42.6%,57.4%,0.74263650404288
META,"META Platforms",777.59,33.49,+4.50%,68.96%,89%,1297442,36.4%,63.6%,0.57272369130812
INTC,"Intel Corp",127.39,4.79,+3.91%,42.30%,58%,1145475,31.0%,69.0%,0.44871768928596
AAPL,"Apple Inc",335.92,-1.1,-0.33%,43.79%,30%,823951,37.2%,62.8%,0.59152078468186
AMZN,"Amazon.com Inc",249.38,0.11,+0.04%,33.33%,47%,748186,25.5%,74.5%,0.34273372205502
SPCX,"SpaceX Corp",148.03,-0.33,-0.22%,0.34%,1%,741422,43.8%,56.2%,0.77966337660343
ORCL,"Oracle Corp",139.54,-5.02,-3.47%,21.32%,22%,729753,42.7%,57.3%,0.74408900254532
MU,"Micron Technology",1080.53,8.65,+0.81%,27.07%,20%,725402,38.3%,61.7%,0.62194879270908
AMD,"Adv Micro Devices",629.26,14.65,+2.38%,27.02%,32%,630181,42.8%,57.2%,0.748142785018
MSFT,"Microsoft Corp",497.93,-2.66,-0.53%,31.25%,37%,436901,28.3%,71.7%,0.39555111206227
GOOGL,"Alphabet Cl A",342.36,4.53,+1.34%,39.18%,49%,435240,25.6%,74.4%,0.34481096513453
MSTR,"Strategy Inc",161.61,-0.59,-0.36%,17.19%,28%,422241,35.3%,64.7%,0.54501778317697
SOFI,"Sofi Technologies Inc",16.8,0.25,+1.51%,8.74%,10%,413455,31.0%,69.0%,0.44864544792017
PLTR,"Palantir Technologies Cl A",192.59,0.8,+0.42%,33.85%,41%,407459,42.3%,57.7%,0.73237161090632
GME,"Gamestop Corp",25.02,0.82,+3.39%,64.45%,84%,370320,12.2%,87.8%,0.13860883842344
CRWV,"Coreweave Cl A",90.13,3.23,+3.72%,12.36%,5%,348417,25.9%,74.1%,0.34938653157968
NBIS,"Nebius Group N.V. Cl A",243.48,16.87,+7.44%,7.65%,10%,292756,36.1%,63.9%,0.56463646663959
AVGO,"Broadcom Ltd",350.36,-4.63,-1.30%,3.06%,1%,278603,35.2%,64.8%,0.5436352051417
SNDK,"Sandisk Corp",1753.62,-62.95,-3.47%,4.47%,5%,243660,38.6%,61.4%,0.62915713884543
U,"Unity Software Inc",41.42,-2.68,-6.08%,20.98%,21%,241017,15.4%,84.6%,0.18176290899106
NFLX,"Netflix Inc",71.72,0.36,+0.50%,25.33%,45%,240825,42.4%,57.6%,0.73573822480089
HOOD,"Robinhood Markets Cl A",120.82,-1.88,-1.53%,31.70%,31%,203827,36.9%,63.1%,0.58500587105453
GOOG,"Alphabet Cl C",339.01,4.03,+1.20%,38.51%,50%,199206,30.4%,69.6%,0.4368891421482
IREN,"Iren Limited",46.15,-0.9,-1.91%,2.10%,2%,191238,36.0%,64.0%,0.56282331020618
SMCI,"Super Micro Computer",41.51,0.07,+0.17%,36.77%,42%,178609,24.2%,75.8%,0.31869259620212
RKLB,"Rocket Lab Corp",73.61,3.3,+4.69%,14.73%,9%,173019,23.9%,76.1%,0.31445437141034
MRNA,"Moderna Inc",194.82,12.71,+6.98%,38.78%,86%,163269,41.7%,58.3%,0.71434421495847
NKE,"Nike Inc",35.99,-0.06,-0.17%,79.78%,86%,154474,48.2%,51.8%,0.92942969198871
ARM,"Arm Holdings Plc ADR",306.34,-26.22,-7.88%,45.46%,67%,150135,33.2%,66.8%,0.49602415401172
IONQ,"Ionq Inc",44.98,2.44,+5.74%,14.22%,9%,149749,24.3%,75.7%,0.32175010591724
BE,"Bloom Energy Corp Cl A",266.65,-8.54,-3.10%,0.96%,3%,145208,44.7%,55.3%,0.80726100538912
AGNC,"Agnc Investment Corp",9.62,-0.29,-2.93%,27.29%,78%,145151,79.7%,20.3%,3.9369409203769
WBD,"Discovery Inc Series A",30.84,0.08,+0.26%,0.00%,0%,145130,90.3%,9.7%,9.2907182868893
BB,"Blackberry Ltd",8.73,0.35,+4.18%,23.65%,64%,132954,13.5%,86.5%,0.15574988916609
PFE,"Pfizer Inc",28.41,0.23,+0.82%,33.59%,52%,130087,30.1%,69.9%,0.43015611257696
MARA,"Mara Holdings Inc",12.92,-0.43,-3.22%,8.98%,10%,129443,32.0%,68.0%,0.47095989727156
F,"Ford Motor Company",12.6,-0.34,-2.63%,47.90%,56%,128548,58.7%,41.3%,1.4198637099507
ONDS,"Ondas Inc",7.6,0.2,+2.70%,7.29%,8%,124496,11.3%,88.7%,0.12801833881504
BAC,"Bank of America Corp",56.03,0.03,+0.05%,50.40%,82%,124254,50.4%,49.6%,1.0147554806071
NVO,"Novo Nordisk A/S ADR",38.62,0.45,+1.18%,6.24%,6%,121316,68.0%,32.0%,2.1242853463817
COIN,"Coinbase Global Cl A",199.21,1.08,+0.55%,34.16%,29%,118409,33.5%,66.5%,0.50372091841918
BMNR,"Bitmine Immersion Technologies",28.03,0.57,+2.08%,11.61%,10%,118058,30.9%,69.1%,0.44788932767544
WMT,"Walmart Inc",107.59,-2.94,-2.66%,40.01%,47%,115149,39.5%,60.5%,0.6529671844047
DELL,"Dell Technologies",536.02,-13.81,-2.51%,40.86%,56%,113020,32.6%,67.4%,0.48476090383605
WULF,"Terawulf Inc",16.29,-0.06,-0.37%,9.52%,6%,107357,32.6%,67.4%,0.48473868366825
PCG,"Pacific Gas & Electric Company",12.32,-0.09,-0.73%,50.53%,86%,105243,30.6%,69.4%,0.44101377440644
TSM,"Taiwan Semiconductor ADR",451.15,4.58,+1.03%,8.44%,14%,104972,42.6%,57.4%,0.7409446729468
MRVL,"Marvell Technology Inc",258.95,-1.95,-0.75%,34.25%,47%,104218,34.0%,66.0%,0.51594228195729
BA,"Boeing Company",196.8,-3.13,-1.57%,46.80%,43%,102498,30.0%,70.0%,0.4288024311025
EOSE,"Eos Energy Enterprises Inc",3.24,-0.34,-9.36%,7.28%,8%,101469,16.2%,83.8%,0.19368272454561
RIVN,"Rivian Automotive Cl A",15.29,0.27,+1.80%,21.69%,17%,100781,24.7%,75.3%,0.32753306285895
APO,"Apollo Asset Management",120.69,-3.67,-2.95%,38.50%,43%,100525,83.2%,16.8%,4.9556253332543
ASTS,"Ast Spacemobile Inc",61.06,1.08,+1.80%,11.80%,9%,100004,32.0%,68.0%,0.46999853006027
NOK,"Nokia Corp ADR",10.43,-0.2,-1.88%,40.14%,55%,97954,25.7%,74.3%,0.34524479846186
BABA,"Alibaba Group Holding ADR",110.63,-0.17,-0.15%,33.93%,24%,96535,29.6%,70.4%,0.42078151446023
FSLR,"First Solar Inc",172.16,-19.81,-10.32%,29.86%,45%,92595,56.7%,43.3%,1.3068586661352
CRWD,"Crowdstrike Holdings",259.67,-2.82,-1.07%,54.48%,65%,91776,48.7%,51.3%,0.94841092924018
AMC,"AMC Entertainment Holdings",2.91,0.04,+1.39%,30.29%,35%,85740,10.5%,89.5%,0.1167406905714
MCD,"McDonald's Corp",237.02,-1.3,-0.55%,49.13%,59%,81611,38.8%,61.2%,0.63509777207886
CRCL,"Circle Internet Group Cl A",93,1.28,+1.40%,30.55%,22%,79147,21.5%,78.5%,0.27383194115848
UBER,"UBER Technologies",69.22,-0.2,-0.29%,35.44%,37%,78278,29.0%,71.0%,0.40802964348671
COST,"Costco Wholesale",896.48,-8.22,-0.91%,53.48%,70%,77708,50.7%,49.3%,1.0267070053727
OWL,"Blue Owl Capital Inc",9.25,-0.35,-3.65%,39.28%,45%,77118,49.9%,50.1%,0.99694443005852
AAL,"American Airlines Gp",13.35,0,0.00%,26.85%,25%,76047,39.2%,60.8%,0.64525550603609
RKT,"Rocket Companies Cl A",11.93,-0.22,-1.81%,42.53%,41%,74174,34.7%,65.3%,0.53071795612605
CIFR,"Cipher Digital Inc",18.1,-0.25,-1.36%,11.68%,15%,72098,36.5%,63.5%,0.57584367896485
VKTX,"Viking Thera",36.75,-4.9,-11.76%,22.05%,17%,71740,22.2%,77.8%,0.28593962859396
HPE,"Hewlett Packard Enterprise",63.52,1.19,+1.91%,36.86%,71%,70495,27.1%,72.9%,0.37101793146369
SKHY,"SK hynix Inc",186.37,-2.91,-1.54%,0.54%,2%,68337,44.3%,55.7%,0.79654555970345
NIO,"Nio Inc ADR",3.63,-0.04,-1.09%,14.14%,6%,67432,44.3%,55.7%,0.79588793011612
NOW,"Servicenow Inc",137.78,-3.,-2.13%,51.52%,60%,67139,34.7%,65.3%,0.53239905963983
HIMS,"Hims & Hers Health Inc",29.28,0.89,+3.13%,24.06%,29%,66757,32.8%,67.2%,0.48738915378103
GRAB,"Grab Holdings Ltd Cl A",3.11,-0.09,-2.81%,65.36%,72%,66411,7.4%,92.6%,0.079800985317789
XOM,"Exxonmobil Holdings Corp",162.14,0.91,+0.56%,63.64%,62%,63584,38.8%,61.2%,0.63446609428821
QCOM,"Qualcomm Inc",194.26,-2.98,-1.51%,38.49%,71%,60945,30.1%,69.9%,0.43043233347416
CCL,"Carnival Corporation Ltd",21.79,-0.01,-0.05%,43.28%,60%,60128,16.9%,83.1%,0.20349872900863
BULL,"Webull Corp Cl A",7.26,-0.39,-5.10%,11.48%,8%,57365,24.0%,76.0%,0.3152283565664
UPS,"United Parcel Service",92.05,-3.77,-3.93%,33.80%,55%,56704,61.0%,39.0%,1.5639356122264
XP,"XP Inc Cl A",20.52,-0.36,-1.72%,19.91%,82%,56276,3.6%,96.4%,0.03746036427992
PURR,"Hyperliquid Strategies Inc",14.09,0.15,+1.08%,7.95%,40%,52228,11.4%,88.6%,0.12896113440837
TEM,"Tempus AI Cl A",82.24,5.65,+7.38%,73.58%,93%,51160,17.0%,83.0%,0.2041046883826
FSLY,"Fastly Inc",26.68,-2.97,-10.02%,38.97%,71%,50899,15.5%,84.5%,0.18298238274532
AAOI,"Applied Optoelect",101.03,-0.03,-0.03%,11.79%,7%,50254,23.3%,76.7%,0.30306487579733
DKNG,"Draftkings Inc",21.27,0.02,+0.09%,49.48%,55%,50034,23.2%,76.8%,0.30279911469861
OKLO,"Oklo Inc",38.29,-0.53,-1.37%,3.22%,4%,48791,48.5%,51.5%,0.94309040223019
NU,"NU Holdings Ltd Cl A",13.56,-0.06,-0.44%,64.05%,75%,48027,39.8%,60.2%,0.66074207268578
RGTI,"Rigetti Computing Inc",16.5,0.5,+3.09%,6.55%,7%,47624,21.9%,78.1%,0.28055929013176
TTD,"Trade Desk Inc",12.63,-0.05,-0.39%,43.32%,44%,47426,51.5%,48.5%,1.0602085143354
IBM,"Intl Business Machines",227.06,-5.7,-2.45%,37.39%,51%,47216,35.4%,64.6%,0.54755817764667
CRM,"Salesforce Inc",238.22,0.64,+0.27%,40.08%,25%,46961,28.5%,71.5%,0.39873116101745
FIGR,"Figure Technology Solutions Inc Cl A",32.66,-2.,-5.77%,11.27%,14%,46882,46.0%,54.0%,0.85238452724327
