Symbol,Name,Latest,Change,%Change,"IV Rank","IV Pctl","Options Vol","% Put","% Call","P/C Vol"
NVDA,"Nvidia Corp",227.38,5.11,+2.30%,7.22%,3%,3847378,34.8%,65.2%,0.53310882887492
TSLA,"Tesla Inc",375.3,11.03,+3.03%,14.94%,16%,2892669,37.1%,62.9%,0.59095816560728
META,"META Platforms",741.24,75.49,+11.34%,72.05%,92%,2808462,35.2%,64.8%,0.54205950777519
INTC,"Intel Corp",121.78,13.18,+12.14%,42.37%,59%,2226325,38.2%,61.8%,0.61684189580082
AAPL,"Apple Inc",338.98,2.85,+0.85%,43.31%,30%,1467408,32.3%,67.7%,0.47666224227232
AMD,"Adv Micro Devices",615.52,55.7,+9.95%,30.92%,43%,1314412,39.2%,60.8%,0.64573869754444
MU,"Micron Technology",1043.96,28.16,+2.77%,26.71%,20%,1242524,34.3%,65.7%,0.5216846591431
AMZN,"Amazon.com Inc",258.45,4.74,+1.87%,31.60%,43%,1095220,21.9%,78.1%,0.27963303524067
SPCX,"SpaceX Corp",151.85,-0.86,-0.56%,4.70%,18%,826802,39.5%,60.5%,0.65192564354616
MSFT,"Microsoft Corp",501.61,7.83,+1.59%,30.83%,36%,753075,25.0%,75.0%,0.33322534044316
WBD,"Discovery Inc Series A",30.8,3,+10.79%,3.14%,4%,688004,48.8%,51.2%,0.9543902508309
MSTR,"Strategy Inc",168.5,14.58,+9.47%,33.28%,64%,645610,36.3%,63.7%,0.57105660193702
GOOGL,"Alphabet Cl A",354.97,5.43,+1.55%,36.18%,44%,531750,26.7%,73.3%,0.36402813476367
AVGO,"Broadcom Ltd",362.66,5.05,+1.41%,10.31%,4%,503411,22.8%,77.2%,0.29493125490347
PLTR,"Palantir Technologies Cl A",183.09,5.45,+3.07%,27.85%,34%,352030,32.1%,67.9%,0.47243600468462
NFLX,"Netflix Inc",73.36,1.57,+2.19%,23.59%,42%,337884,29.2%,70.8%,0.41255262310776
CRWV,"Coreweave Cl A",85.43,4.07,+5.00%,12.83%,4%,324353,26.2%,73.8%,0.35459203915689
SOFI,"Sofi Technologies Inc",16.97,0.01,+0.06%,3.83%,4%,322651,30.0%,70.0%,0.42806369945471
HOOD,"Robinhood Markets Cl A",123.3,3.48,+2.90%,35.91%,39%,307960,38.1%,61.9%,0.61516353032496
IREN,"Iren Limited",47.23,0.55,+1.18%,9.08%,6%,299433,32.4%,67.6%,0.47972642409207
ORCL,"Oracle Corp",148.56,0.95,+0.64%,22.13%,23%,244797,27.7%,72.3%,0.38240908064152
GME,"Gamestop Corp",22.76,0.12,+0.53%,39.75%,48%,242656,11.3%,88.7%,0.12746314287971
BMNR,"Bitmine Immersion Technologies",28.25,2.26,+8.70%,17.75%,23%,232213,34.4%,65.6%,0.52337748387816
SHOP,"Shopify Inc",137.92,9.42,+7.33%,35.31%,36%,218067,9.3%,90.7%,0.10267949696856
SMCI,"Super Micro Computer",41.2,2.11,+5.40%,35.71%,41%,215036,25.6%,74.4%,0.34385741247641
GOOG,"Alphabet Cl C",350.87,6.46,+1.88%,36.28%,47%,211808,30.1%,69.9%,0.43017846170467
MARA,"Mara Holdings Inc",13.28,0.04,+0.30%,16.68%,25%,210191,36.5%,63.5%,0.57564467766117
MRVL,"Marvell Technology Inc",257.38,13.13,+5.38%,37.57%,50%,204207,33.5%,66.5%,0.50333490385465
NBIS,"Nebius Group N.V. Cl A",232.8,9.26,+4.14%,8.18%,11%,193862,34.2%,65.8%,0.52035510661825
AMC,"AMC Entertainment Holdings",2.89,0.19,+7.04%,34.59%,43%,193318,11.0%,89.0%,0.12383731745884
COIN,"Coinbase Global Cl A",201.05,6.8,+3.50%,41.29%,45%,190369,31.7%,68.3%,0.46473747383971
ARM,"Arm Holdings Plc ADR",322.9,47.29,+17.16%,51.12%,72%,190281,27.2%,72.8%,0.37361217388793
RKLB,"Rocket Lab Corp",69.89,5.32,+8.24%,12.70%,8%,179399,26.4%,73.6%,0.35805450416351
NVO,"Novo Nordisk A/S ADR",39.8,-3.44,-7.96%,15.16%,14%,178227,48.8%,51.2%,0.95203881581109
CIFR,"Cipher Digital Inc",18.9,0.56,+3.05%,11.21%,13%,177037,52.7%,47.3%,1.1145563345795
QCOM,"Qualcomm Inc",194.23,16.51,+9.29%,44.20%,75%,167637,19.4%,80.6%,0.24100176189278
NOK,"Nokia Corp ADR",10.94,0.26,+2.43%,44.70%,65%,161502,15.4%,84.6%,0.18239389701953
BABA,"Alibaba Group Holding ADR",115.75,2.51,+2.22%,64.11%,69%,157704,21.1%,78.9%,0.26795147012711
NKE,"Nike Inc",36.1,0.59,+1.66%,75.10%,84%,155712,25.6%,74.4%,0.3440596623278
SNDK,"Sandisk Corp",1766.64,-25.18,-1.41%,5.24%,6%,153777,44.1%,55.9%,0.78987371239015
AAL,"American Airlines Gp",13.57,0.61,+4.71%,29.41%,28%,142463,21.4%,78.6%,0.27209329321106
TSM,"Taiwan Semiconductor ADR",445.14,10.47,+2.41%,6.06%,8%,132469,49.8%,50.2%,0.99315398272697
PSKY,"Paramount Skydance Corp Cl B",9.91,-0.3,-2.94%,30.22%,87%,131953,37.3%,62.7%,0.59494512401489
MRNA,"Moderna Inc",172.94,18.9,+12.27%,28.36%,73%,131071,31.2%,68.8%,0.45379223141596
BE,"Bloom Energy Corp Cl A",272.89,7.26,+2.73%,2.76%,4%,123306,44.1%,55.9%,0.78844312940562
WULF,"Terawulf Inc",17.45,0.44,+2.59%,10.96%,6%,115326,36.8%,63.2%,0.58149803900058
PFE,"Pfizer Inc",27.74,0.08,+0.29%,21.42%,18%,113051,44.1%,55.9%,0.78759368773916
ASST,"Strive Inc",30.33,0.24,+0.80%,1.46%,5%,110015,13.5%,86.5%,0.15593544455418
ASTS,"Ast Spacemobile Inc",61.89,3.37,+5.76%,7.85%,5%,105264,27.8%,72.2%,0.38512553292279
CRWD,"Crowdstrike Holdings",249.35,11.7,+4.92%,56.86%,69%,102273,42.1%,57.9%,0.72665113452188
ONDS,"Ondas Inc",7.38,-0.01,-0.14%,2.36%,3%,99494,22.1%,77.9%,0.28425753820735
APLD,"Applied Digital Corp",28.19,0.07,+0.25%,17.86%,11%,97183,30.2%,69.8%,0.43255354589543
POET,"Poet Technologies Inc",8.41,0.61,+7.82%,4.88%,6%,95596,9.5%,90.5%,0.10507941645666
BAC,"Bank of America Corp",57.96,0.23,+0.40%,35.57%,53%,95400,35.2%,64.8%,0.54421405331909
RIVN,"Rivian Automotive Cl A",15.36,0.37,+2.47%,22.28%,17%,94414,19.8%,80.2%,0.24661983732967
SKHY,"SK hynix Inc",188.86,1.36,+0.73%,4.47%,16%,92753,50.2%,49.8%,1.0068153789567
DELL,"Dell Technologies",575.31,7.25,+1.28%,40.83%,56%,88431,48.1%,51.9%,0.9263914606252
JBLU,"Jetblue Airways Corp",4.57,0.2,+4.58%,29.07%,30%,88220,38.1%,61.9%,0.61474539663946
CRML,"Critical Metals Corp",9.33,2.6,+38.63%,17.97%,37%,87644,17.0%,83.0%,0.2053912804291
HIMS,"Hims & Hers Health Inc",29.35,1.36,+4.86%,18.59%,23%,86914,15.9%,84.1%,0.18967381633519
CORZ,"Core Scientific Inc",18.36,0.37,+2.06%,8.60%,9%,86237,33.8%,66.2%,0.51157736060718
UBER,"UBER Technologies",70.84,0.34,+0.48%,30.69%,24%,83755,30.0%,70.0%,0.42765826884396
CRCL,"Circle Internet Group Cl A",94.49,2.71,+2.95%,30.15%,21%,83268,31.8%,68.2%,0.46552148966877
WMT,"Walmart Inc",107.44,0.71,+0.67%,28.45%,29%,82240,26.5%,73.5%,0.35985581295368
PCG,"Pacific Gas & Electric Company",12.94,-0.26,-1.97%,45.57%,85%,78892,24.5%,75.5%,0.32395784386118
F,"Ford Motor Company",13.17,-0.04,-0.30%,41.29%,45%,75275,25.8%,74.2%,0.34742061361114
OXY,"Occidental Petroleum",57.25,-1.59,-2.70%,43.64%,38%,73952,10.6%,89.4%,0.11897592640228
SNAP,"Snap Inc",5.7,0.17,+3.07%,32.17%,49%,72088,13.0%,87.0%,0.14927062574731
BKNG,"Booking Holdings",168.52,0.62,+0.37%,31.03%,41%,71932,9.2%,90.8%,0.10144394934693
BA,"Boeing Company",201.15,2.95,+1.49%,40.52%,33%,71263,24.9%,75.1%,0.33097381494901
OPEN,"Opendoor Technologies Inc",2.68,0.12,+4.69%,3.06%,6%,70806,18.0%,82.0%,0.21925851944966
CLSK,"Cleanspark Inc",14.76,0.29,+2.00%,7.76%,9%,69869,22.9%,77.1%,0.29773955682684
NUAI,"New Era Energy & Digital Inc",7.65,1.79,+30.55%,18.45%,10%,69525,54.6%,45.4%,1.2046931980339
RIOT,"Riot Platforms Inc",24.18,0.43,+1.81%,23.91%,17%,66608,41.7%,58.3%,0.71449163449163
AAOI,"Applied Optoelect",108.67,3.5,+3.33%,13.33%,8%,66380,24.6%,75.4%,0.32624722782762
SMR,"Nuscale Power Corp",8.79,0.52,+6.29%,7.03%,7%,64598,22.9%,77.1%,0.29694025056216
VKTX,"Viking Thera",30.11,1.12,+3.86%,100.00%,100%,64086,25.8%,74.2%,0.34722193024869
RKT,"Rocket Companies Cl A",12.36,0.07,+0.57%,33.56%,27%,63353,24.9%,75.1%,0.33097333977605
T,"AT&T Inc",25.45,0.05,+0.20%,38.47%,50%,63124,43.0%,57.0%,0.75534606935291
USAR,"USA Rare Earth Inc",16.78,1.41,+9.17%,4.42%,2%,62289,25.0%,75.0%,0.33312644465371
APP,"Applovin Corp Cl A",330.17,22.11,+7.18%,22.57%,27%,61110,33.0%,67.0%,0.49307337095947
NOW,"Servicenow Inc",137.68,2.21,+1.63%,51.86%,61%,60570,35.7%,64.3%,0.55415287506735
IONQ,"Ionq Inc",40.51,1.38,+3.53%,7.43%,5%,59700,27.5%,72.5%,0.37913509517649
SOUN,"Soundhound AI Inc Cl A",6.17,0.24,+4.05%,3.38%,4%,58625,11.1%,88.9%,0.1243335506885
XOM,"Exxonmobil Holdings Corp",158.3,-5.24,-3.20%,61.55%,59%,57551,40.7%,59.3%,0.68687164756573
GRAB,"Grab Holdings Ltd Cl A",2.91,0.12,+4.11%,45.88%,43%,56703,11.0%,89.0%,0.12403362010863
DKNG,"Draftkings Inc",21.97,0.22,+1.01%,42.62%,47%,56615,19.1%,80.9%,0.23621634604887
NIO,"Nio Inc ADR",3.67,0.01,+0.27%,0.00%,0%,55962,11.5%,88.5%,0.13024862157413
CCL,"Carnival Corporation Ltd",22.31,0.47,+2.15%,42.38%,61%,55756,25.9%,74.1%,0.35005690210417
AMAT,"Applied Materials",464.24,19.67,+4.42%,31.90%,51%,55708,36.9%,63.1%,0.58391856927582
CMCSA,"Comcast Corp A",22.93,0.19,+0.84%,47.18%,63%,55331,74.1%,25.9%,2.8657863480752
HPE,"Hewlett Packard Enterprise",61.75,0.99,+1.63%,34.77%,70%,54765,22.0%,78.0%,0.28132238365972
TE,"T1 Energy Inc",4.45,0.28,+6.71%,5.72%,6%,53905,20.8%,79.2%,0.26214615186495
PURR,"Hyperliquid Strategies Inc",13.55,-0.54,-3.83%,4.50%,14%,52878,39.2%,60.8%,0.64365422274719
OKLO,"Oklo Inc",40.18,2.18,+5.74%,6.93%,5%,52365,27.2%,72.8%,0.37376042814418
BB,"Blackberry Ltd",8.53,0.54,+6.76%,32.77%,80%,52026,21.8%,78.2%,0.27925446900588
MCD,"McDonald's Corp",247.88,-0.36,-0.15%,57.96%,75%,51918,38.0%,62.0%,0.61331220285261
RGTI,"Rigetti Computing Inc",16.53,0.77,+4.89%,4.34%,4%,51814,25.8%,74.2%,0.34809418498764
CRDO,"Credo Technology Group Holding",187.27,11.38,+6.47%,10.80%,4%,50811,35.0%,65.0%,0.53949401605817
WU,"Western Union Company",6.2,0.02,+0.32%,22.09%,52%,50105,2.6%,97.4%,0.026720763918772
CRM,"Salesforce Inc",236.42,-1.5,-0.63%,41.16%,28%,50097,37.5%,62.5%,0.60008304321441
GLW,"Corning Inc",158.98,8.85,+5.89%,42.18%,47%,49869,42.6%,57.4%,0.74111444731513
KEEL,"Keel Infrastructure Corp",4.07,0.06,+1.50%,22.10%,5%,49840,15.2%,84.8%,0.17953329862262
VG,"Venture Global Inc Cl A",13.66,-0.36,-2.57%,10.22%,11%,49692,35.9%,64.1%,0.55989452536414
AXTI,"Axt Inc",79.93,9.9,+14.14%,10.98%,8%,48233,32.6%,67.4%,0.48427498769079
NVTS,"Navitas Semiconductor Corp",12.16,0.73,+6.39%,4.73%,6%,48124,20.7%,79.3%,0.26025244854135
EOSE,"Eos Energy Enterprises Inc",4.07,0.11,+2.78%,11.21%,24%,47958,14.3%,85.7%,0.16714529082502
BULL,"Webull Corp Cl A",8.25,0,0.00%,15.93%,16%,47843,15.9%,84.1%,0.18879363896136
PATH,"Uipath Inc Cl A",13.59,0.2,+1.49%,25.95%,21%,47078,15.0%,85.0%,0.17592106906457
HUT,"Hut 8 Corp",103.42,4.68,+4.74%,13.88%,19%,46883,34.4%,65.6%,0.52420429792906
LRCX,"Lam Research Corp",302.28,14.17,+4.92%,29.61%,37%,46517,36.2%,63.8%,0.5672315622789
QUBT,"Quantum Computing Inc",8.96,0.26,+2.99%,13.61%,6%,46176,25.4%,74.6%,0.34100017424638
GLND,"Greenland Energy Company",2.88,1.68,+140.00%,23.25%,46%,45591,51.4%,48.6%,1.059679241021
SBET,"Sharplink Inc",9.98,0.63,+6.74%,30.64%,21%,45375,13.4%,86.6%,0.15455077478945
DAL,"Delta Air Lines Inc",82.5,2.88,+3.62%,39.87%,65%,45196,21.5%,78.5%,0.27334197329126
RDDT,"Reddit Cl A",158.73,7.88,+5.22%,15.45%,18%,45108,34.7%,65.3%,0.53251341985459
RXRX,"Recursion Pharmaceuticals Inc Cl A",3.97,0.14,+3.66%,9.65%,10%,44981,5.5%,94.5%,0.058351568198395
ONON,"On Holding Ag Cl A",27.32,0.06,+0.22%,29.05%,42%,44954,43.1%,56.9%,0.75622143219909
IBM,"Intl Business Machines",231.93,2.38,+1.04%,36.41%,51%,44159,23.7%,76.3%,0.30977309802758
LULU,"Lululemon Athletica",101.3,3.24,+3.30%,15.51%,15%,43889,34.4%,65.6%,0.52328890739969
UNH,"Unitedhealth Group",377.56,0.66,+0.18%,50.32%,77%,43502,41.0%,59.0%,0.69538953193811
QBTS,"D-Wave Quantum Inc",17.7,0.59,+3.45%,5.25%,6%,43445,22.0%,78.0%,0.2824335094607
CSCO,"Cisco Systems Inc",111.46,1.95,+1.78%,38.16%,52%,43280,26.0%,74.0%,0.35182408795602
PANW,"Palo Alto Networks",371.76,8.18,+2.25%,49.72%,73%,43245,29.4%,70.6%,0.41684686455671
NU,"NU Holdings Ltd Cl A",14.06,0.41,+3.00%,56.49%,57%,43193,19.3%,80.7%,0.23857999025034
COST,"Costco Wholesale",898.48,3.17,+0.35%,49.38%,65%,42993,37.8%,62.2%,0.60817685344505
ACHR,"Archer Aviation Inc",5.43,0.17,+3.23%,10.26%,7%,42952,10.8%,89.2%,0.12108161720565
PEP,"Pepsico Inc",129.59,-0.16,-0.12%,53.16%,64%,42332,29.2%,70.8%,0.4131392709307
DVN,"Devon Energy Corp",47.59,-1.02,-2.10%,47.75%,35%,42275,25.0%,75.0%,0.33342795861721
UPS,"United Parcel Service",94.75,-4.31,-4.35%,24.86%,35%,41909,35.7%,64.3%,0.55471880100905
KO,"Coca-Cola Company",87.12,-1.13,-1.28%,49.30%,33%,41384,39.5%,60.5%,0.65192399808399
DJT,"Trump Media & Technology Group Corp",9.12,0.27,+3.05%,18.30%,22%,41175,24.0%,76.0%,0.31541115583669
CMG,"Chipotle Mexican Grill",33.14,-0.29,-0.87%,33.40%,45%,40787,63.3%,36.7%,1.7220368392952
HPQ,"HP Inc",32.95,-1.45,-4.22%,61.39%,75%,40757,76.0%,24.0%,3.1695140664962
