Company Name,Ticker,Zacks Rank,Market Cap (mil),Last Close,Avg Volume,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Sales Growth F(0)/F(-1),Operating Margin 12 Mo %,52 Week High,52 Week Low,Zacks Industry Rank,Sector,Industry,Net Margin %
"Agilent Technologies","A","3","45655.56","161.94","2377042","10.31","5.55","21.92","100","4.92","6.73","23.33","161.94","110.24","98","Medical","Medical - Products","19.53"
"Alcoa","AA","3","11780.92","44.64","3519939","-4.92","-9.62","-16.51","25.51","-25.94","7.87","9.29","83.79","31.23","44","Industrial Products","Metal Products - Distribution","9.48"
"American Airlines","AAL","3","8982.93","13.57","66254624","3.59","-.44","-24.28","42.53","-21.96",".78","-.3","18.15","10.18","233","Transportation","Transportation - Airline","-.56"
"Acadian Asset Management Inc.","AAMI","4","3339.98","94.11","477558","5.84","2.4","32.23","94.22","76.53","11.49","24.38","97.31","41.93","102","Finance","Financial - Miscellaneous Services","15.17"
"Applied Optoelectronics","AAOI","3","9190.14","108.67","6241139","13.48",".97","-27.6","43.8","174.83","82.75","-.92","223.1","19.49","47","Computer and Technology","Electronics - Semiconductors","-9.57"
"AAON","AAON","3","6299.46","76.4","1023128","1.14",".39","-39.23","3.89","-11.67","20.11","8.29","148.25","73.49","29","Construction","Building Products - Air Conditioner and Heating","8.24"
"Advance Auto Parts","AAP","3","2477","41.01","1568297","-8.89","-6.01","-33.46","9.31","-8","-5.42","2.53","63.02","38.75","75","Retail-Wholesale","Automotive - Retail and Wholesale - Parts",".97"
"Apple","AAPL","3","4947135","338.98","41155704","1.77","9.23","20.32","98.92","9.93","6.43","27.27","340.08","237.88","44","Computer and Technology","Computer - Micro Computers","27.62"
"American Assets Trust","AAT","4","1349.67","21.98","476117","1.57","-4.43","-11.51","52.16","2.37","-4.73","4.09","25.85","17.76","184","Finance","REIT and Equity Trust - Retail","4.09"
"Allied Gold Corporation","AAUC","3","3118.73","22.38","431373","3.66","-4.15","-4.36","44.5","-13.77","82.35","13.81","32.01","14.66","202","Basic Materials","Mining - Gold","-4.19"
"American Battery Technology Company","ABAT","NA","332.21","2.33","3479701","-1.27","-2.92","-13.06","3.12","-38.5","406.81","-337.5","11.33","2.04","47","Computer and Technology","Electronics - Miscellaneous Products","-337.5"
"AbbVie","ABBV","3","467281.41","264.48","4050381","1.04","-.02","4","97.83","2.05","8.57","30.03","265.97","197.38","106","Medical","Large Cap Pharmaceuticals","9.8"
"Ameris Bancorp","ABCB","3","5569.9","83","422316","-2.15","-3.43","-8.14","57.2","-1.48","-.36","34.33","93.17","69.41","72","Finance","Banks - Southeast","21.98"
"ABCELLERA BIOLG","ABCL","3","3881.7","12.66","4451874","13.34","19.32","55.91","99.3","226.35","160.56","-248.83","12.73","2.78","165","Medical","Medical - Biomedical and Genetics","-248.83"
"Ambev","ABEV","4","46969.68","2.98","24785074","-1.65","2.05","-6.29","65.91","6.37","-4.75","17.76","3.43","2.11","204","Consumer Staples","Beverages - Alcohol","18.47"
"ABM Industries","ABM","3","2897.32","49.43","531550","-.32","5.48","10.41","91.14","3.02","4.62","2.4","50.6","37.39","106","Business Services","Business - Services","1.82"
"Airbnb","ABNB","3","99901.4","166.84","4217519","-2.23","-12.29","13.36","70.04","8.38","10.26","20.45","190.5","111.54","181","Consumer Discretionary","Leisure and Recreation Services","20.45"
"Arbor Realty Trust","ABR","3","809.66","4.34","3978000","-6.67","-17.33","-18.73",".73","-50.69","-19.51","20.51","12.46","4.28","221","Finance","REIT and Equity Trust","6.24"
"Abbott Laboratories","ABT","2","178194.88","102.98","8207209","-.11","-11.73","11.08","37.77","-27.54","5.67","19.79","136.62","82.56","98","Medical","Medical - Products","11.65"
"American Bitcoin Corp.","ABTC","NA","750.04","10.3","1858842","19.08","19.21","-3.87","4.78","-64.37","801.52","-71.75","112.14","5.19","102","Finance","Financial - Miscellaneous Services","-71.75"
"Arbutus Biopharma","ABUS","NA","990.53","5","4006596","-2.53","-3.85","6.84","85.81","-8.36","128.21","84.22","5.22","3.67","165","Medical","Medical - Biomedical and Genetics","84.22"
"Abacus Global Management, Inc.","ABX","3","787.23","8.05","476387","-15.17","-16.23","-25.12","43.41","-16.99","110.18","33.55","12","5.02","102","Finance","Financial - Miscellaneous Services","10.55"
