Date,Close,High,Low,Open,Volume
2016-09-27,7.57145357131958,7.598787094048071,7.453007147606759,7.5167856569455775,73600
2016-09-28,7.7354559898376465,7.881235944066562,7.580564571240156,7.580564571240156,57100
2016-09-29,7.471229553222656,7.735455935640578,7.3527831240122685,7.735455935640578,102500
2016-09-30,7.57145357131958,7.644343544540236,7.5167856569455775,7.525897120827415,188400
2016-10-03,7.64434289932251,7.662564956631138,7.607897915788306,7.607897915788306,74200
2016-10-04,7.498565196990967,7.717236057535447,7.462120198386438,7.626123126565472,37800
2016-10-05,7.535010814666748,7.607900809458918,7.525899348088407,7.525899348088407,44700
2016-10-06,7.471229553222656,7.59878744673778,7.46211808891792,7.571453922740632,48800
2016-10-07,7.489453792572021,7.516787321352849,7.443897331992502,7.471230860773328,41900
2016-10-10,7.462117671966553,7.525897049618925,7.434784149496686,7.480340599557805,75600
2016-10-11,7.389226913452148,7.507673323445248,7.307226354764852,7.471228341056365,113000
2016-10-12,7.407451629638672,7.580565120601732,7.398340164609793,7.416563094667551,27100
2016-10-13,7.343672275543213,7.42567284470871,7.252559373469952,7.371005798598379,46300
2016-10-14,7.380117893218994,7.434784944000616,7.371006428449689,7.3983399538405,35900
2016-10-17,7.380117893218994,7.471229934160733,7.243448528430728,7.42567347923131,34400
2016-10-18,7.334561347961426,7.425673387781082,7.28900489359305,7.380117802329802,33800
2016-10-19,7.334561347961426,7.380117802329802,7.197892419314847,7.28900489359305,248600
2016-10-20,7.061222553253174,7.28900392593876,6.787884732247075,7.197891463756224,122300
2016-10-21,7.152336120605469,7.197892575965306,6.970111168083231,6.970111168083231,30200
2016-10-24,7.289004325866699,7.425672809409889,7.152335407864996,7.152335407864996,59800
2016-10-25,7.425674438476562,7.471230899290948,7.31633945387237,7.325450919818691,79400
2016-10-26,7.297958374023437,7.389183201692504,7.206733981346588,7.389183201692504,26400
2016-10-27,7.297958374023437,7.38006054492871,7.206733981346588,7.343570787857971,35400
2016-10-28,7.252345561981201,7.480406748647178,7.161121174313249,7.297957973311274,23300
2016-10-31,7.0698981285095215,7.434795748438773,7.0242857085222274,7.2523469384741475,69300
2016-11-01,7.115510940551758,7.28883710207205,7.115510940551758,7.115510940551758,23200
2016-11-02,7.0698981285095215,7.2523469384741475,7.0242857085222274,7.1611225334918345,58500
2016-11-03,7.206734180450439,7.2523461605529,6.9786729749614524,7.11550978525329,34600
2016-11-04,7.024286270141602,7.252347518327917,7.024286270141602,7.252347518327917,35500
2016-11-07,7.252345561981201,7.252345561981201,7.051651909111706,7.206733585643321,27300
2016-11-08,7.206734180450439,7.2523461605529,7.11550978525329,7.2523461605529,10600
2016-11-09,7.662856578826904,7.662856578826904,7.115510177473271,7.206734577698876,50200
2016-11-10,7.890920162200928,8.027757456044876,7.206736737927862,7.754083738341744,155900
2016-11-11,7.982142448425293,8.073367281543947,7.799693652172468,7.936530031865965,679700
2016-11-14,8.666327476501465,8.803163878136585,8.118980129991733,8.118980129991733,240500
2016-11-15,8.529489517211914,8.66632589385799,8.438264686124885,8.620713478314476,204400
2016-11-16,8.575102806091309,8.62071523090784,8.301429997161412,8.48387882644289,81300
2016-11-17,8.529489517211914,8.620713478314476,8.438264686124885,8.575101062770962,52700
2016-11-18,8.438265800476074,8.529490643610188,8.34704095734196,8.483878222043131,93200
2016-11-21,8.483879089355469,8.529491515585512,8.39265423689538,8.529491515585512,52200
2016-11-22,8.483879089355469,8.529491515585512,8.347041810665335,8.529491515585512,85400
